"Time","value gNb-1-C1","value gNb-3-C2","value gNb-6-C3"
1764936838466,undefined,undefined,38
1764936838470,undefined,0,undefined
1764936838474,25,undefined,undefined
1764936838968,undefined,undefined,39
1764936838973,undefined,0,undefined
1764936838977,25,undefined,undefined
1764936839472,undefined,undefined,39
1764936839477,undefined,0,undefined
1764936839486,25,undefined,undefined
1764936839974,undefined,undefined,39
1764936839981,undefined,0,undefined
1764936839986,25,undefined,undefined
1764936840478,undefined,undefined,39
1764936840486,undefined,0,undefined
1764936840491,25,undefined,undefined
1764936840967,undefined,0,undefined
1764936840971,26,undefined,undefined
1764936840979,undefined,undefined,39
1764936841465,undefined,undefined,40
1764936841472,undefined,0,undefined
1764936841476,26,undefined,undefined
1764936841967,undefined,undefined,40
1764936841976,undefined,0,undefined
1764936841979,26,undefined,undefined
1764936842472,undefined,undefined,40
1764936842480,undefined,0,undefined
1764936842486,26,undefined,undefined
1764936842974,undefined,undefined,40
1764936842983,undefined,0,undefined
1764936842987,26,undefined,undefined
1764936843478,undefined,undefined,40
1764936843488,undefined,0,undefined
1764936843492,26,undefined,undefined
1764936843970,undefined,0,undefined
1764936843973,26,undefined,undefined
1764936843980,undefined,undefined,40
1764936844465,undefined,undefined,41
1764936844474,undefined,0,undefined
1764936844477,26,undefined,undefined
1764936844967,undefined,undefined,41
1764936844976,undefined,0,undefined
1764936844980,26,undefined,undefined
1764936845472,undefined,undefined,41
1764936845481,undefined,0,undefined
1764936845488,26,undefined,undefined
1764936845974,undefined,undefined,41
1764936845984,undefined,0,undefined
1764936845988,26,undefined,undefined
1764936846478,undefined,undefined,41
1764936846488,undefined,0,undefined
1764936846492,26,undefined,undefined
1764936846980,undefined,undefined,41
1764936846992,undefined,0,undefined
1764936846994,26,undefined,undefined
1764936847476,undefined,0,undefined
1764936847477,26,undefined,undefined
1764936847484,undefined,undefined,42
1764936847966,undefined,undefined,42
1764936847978,undefined,0,undefined
1764936847983,26,undefined,undefined
1764936848470,undefined,undefined,42
1764936848482,undefined,0,undefined
1764936848486,26,undefined,undefined
1764936848971,undefined,undefined,42
1764936848984,undefined,0,undefined
1764936848989,26,undefined,undefined
1764936849474,undefined,undefined,42
1764936849489,undefined,0,undefined
1764936849493,26,undefined,undefined
1764936849976,undefined,undefined,42
1764936849990,undefined,0,undefined
1764936849995,26,undefined,undefined
1764936850480,undefined,undefined,43
1764936850494,undefined,0,undefined
1764936850499,27,undefined,undefined
1764936850976,undefined,0,undefined
1764936850982,undefined,undefined,43
1764936850985,27,undefined,undefined
1764936851480,undefined,0,undefined
1764936851487,undefined,undefined,43
1764936851488,27,undefined,undefined
1764936851983,undefined,0,undefined
1764936851989,27,undefined,undefined
1764936851990,undefined,undefined,43
1764936852475,undefined,undefined,43
1764936852487,undefined,0,undefined
1764936852495,27,undefined,undefined
1764936852977,undefined,undefined,44
1764936852988,undefined,0,undefined
1764936852996,27,undefined,undefined
1764936853482,undefined,undefined,44
1764936853493,undefined,0,undefined
1764936853501,27,undefined,undefined
1764936853985,undefined,undefined,44
1764936853986,27,undefined,undefined
1764936853994,undefined,0,undefined
1764936854489,undefined,undefined,44
1764936854490,27,undefined,undefined
1764936854499,undefined,0,undefined
1764936854982,undefined,0,undefined
1764936854991,27,undefined,undefined
1764936854992,undefined,undefined,44
1764936855476,undefined,undefined,45
1764936855487,undefined,0,undefined
1764936855495,27,undefined,undefined
1764936855978,undefined,undefined,45
1764936855990,undefined,0,undefined
1764936855998,27,undefined,undefined
1764936856483,undefined,undefined,45
1764936856495,undefined,0,undefined
1764936856501,27,undefined,undefined
1764936856985,undefined,undefined,45
1764936856998,undefined,0,undefined
1764936857003,27,undefined,undefined
1764936857492,undefined,undefined,45
1764936857502,undefined,0,undefined
1764936857507,27,undefined,undefined
1764936857985,undefined,0,undefined
1764936857991,27,undefined,undefined
1764936857992,undefined,undefined,45
1764936858489,undefined,0,undefined
1764936858495,27,undefined,undefined
1764936858496,undefined,undefined,46
1764936858978,undefined,undefined,46
1764936858991,undefined,0,undefined
1764936858996,27,undefined,undefined
1764936859483,undefined,undefined,46
1764936859496,undefined,0,undefined
1764936859501,27,undefined,undefined
1764936859985,undefined,undefined,46
1764936859999,undefined,0,undefined
1764936860003,27,undefined,undefined
1764936860490,undefined,undefined,46
1764936860505,undefined,0,undefined
1764936860508,27,undefined,undefined
1764936860988,undefined,0,undefined
1764936860992,28,undefined,47
1764936861494,undefined,0,undefined
1764936861495,28,undefined,undefined
1764936861497,undefined,undefined,47
1764936861997,27,4,undefined
1764936861998,undefined,undefined,47
1764936862483,undefined,undefined,47
1764936862502,27,undefined,undefined
1764936862503,undefined,20,undefined
1764936862986,undefined,undefined,47
1764936863004,27,undefined,undefined
1764936863005,undefined,20,undefined
1764936863490,undefined,20,47
1764936863508,27,undefined,undefined
1764936863992,undefined,undefined,48
1764936863993,undefined,20,undefined
1764936864010,27,undefined,undefined
1764936864496,27,undefined,48
1764936864497,undefined,20,undefined
1764936864998,28,undefined,undefined
1764936865000,undefined,20,48
1764936865503,28,undefined,undefined
1764936865504,undefined,undefined,48
1764936865505,undefined,20,undefined
1764936865986,undefined,undefined,48
1764936866005,28,undefined,undefined
1764936866009,undefined,20,undefined
1764936866490,undefined,undefined,48
1764936866493,undefined,20,undefined
1764936866510,28,undefined,undefined
1764936866992,undefined,undefined,49
1764936866996,undefined,20,undefined
1764936867013,28,undefined,undefined
1764936867497,undefined,undefined,49
1764936867498,28,undefined,undefined
1764936867500,undefined,20,undefined
1764936867999,undefined,undefined,49
1764936868000,28,undefined,undefined
1764936868004,undefined,20,undefined
1764936868503,undefined,undefined,49
1764936868504,28,undefined,undefined
1764936868509,undefined,20,undefined
1764936869005,undefined,undefined,49
1764936869007,28,undefined,undefined
1764936869011,undefined,20,undefined
1764936869489,undefined,undefined,49
1764936869496,undefined,20,undefined
1764936869511,28,undefined,undefined
1764936869992,undefined,undefined,50
1764936869998,undefined,20,undefined
1764936870014,28,undefined,undefined
1764936870496,undefined,undefined,50
1764936870500,28,undefined,undefined
1764936870504,undefined,20,undefined
1764936870998,undefined,undefined,50
1764936871002,28,undefined,undefined
1764936871007,undefined,20,undefined
1764936871503,undefined,undefined,50
1764936871507,28,undefined,undefined
1764936871512,undefined,20,undefined
1764936872005,undefined,undefined,50
1764936872010,28,undefined,undefined
1764936872015,undefined,20,undefined
1764936872500,undefined,20,undefined
1764936872510,undefined,undefined,50
1764936872515,28,undefined,undefined
1764936872992,undefined,undefined,51
1764936873002,undefined,20,undefined
1764936873018,28,undefined,undefined
1764936873497,undefined,undefined,51
1764936873504,28,undefined,undefined
1764936873508,undefined,20,undefined
1764936873999,undefined,undefined,51
1764936874007,28,undefined,undefined
1764936874011,undefined,20,undefined
1764936874504,undefined,undefined,51
1764936874512,28,undefined,undefined
1764936874516,undefined,20,undefined
1764936875006,undefined,undefined,51
1764936875015,28,undefined,undefined
1764936875019,undefined,20,undefined
1764936875505,undefined,20,undefined
1764936875511,undefined,undefined,51
1764936875520,28,undefined,undefined
1764936876002,28,undefined,undefined
1764936876008,undefined,20,undefined
1764936876013,undefined,undefined,51
1764936876498,undefined,undefined,52
1764936876506,28,undefined,undefined
1764936876513,undefined,20,undefined
1764936877000,undefined,undefined,52
1764936877009,28,undefined,undefined
1764936877015,undefined,20,undefined
1764936877505,undefined,undefined,52
1764936877514,29,undefined,undefined
1764936877520,undefined,20,undefined
1764936878003,undefined,20,undefined
1764936878006,undefined,undefined,52
1764936878017,29,undefined,undefined
1764936878509,undefined,20,undefined
1764936878511,undefined,undefined,52
1764936878523,29,undefined,undefined
1764936879005,29,undefined,undefined
1764936879012,undefined,20,undefined
1764936879013,undefined,undefined,52
1764936879511,29,undefined,undefined
1764936879518,undefined,20,52
1764936880000,undefined,undefined,53
1764936880013,29,undefined,undefined
1764936880020,undefined,20,undefined
1764936880505,undefined,undefined,53
1764936880518,29,undefined,undefined
1764936880526,undefined,20,undefined
1764936881007,undefined,undefined,53
1764936881009,undefined,20,undefined
1764936881021,29,undefined,undefined
1764936881511,undefined,undefined,53
1764936881515,undefined,20,undefined
1764936881526,29,undefined,undefined
1764936882009,29,undefined,undefined
1764936882013,undefined,undefined,53
1764936882018,undefined,20,undefined
1764936882513,29,undefined,undefined
1764936882518,undefined,undefined,53
1764936882523,undefined,20,undefined
1764936882999,undefined,undefined,53
1764936883015,29,undefined,undefined
1764936883025,undefined,20,undefined
1764936883504,undefined,undefined,53
1764936883521,29,undefined,undefined
1764936883530,undefined,20,undefined
1764936884006,undefined,undefined,54
1764936884012,undefined,20,undefined
1764936884024,29,undefined,undefined
1764936884511,undefined,undefined,54
1764936884516,undefined,20,undefined
1764936884530,29,undefined,undefined
1764936885013,undefined,undefined,54
1764936885014,29,undefined,undefined
1764936885018,undefined,20,undefined
1764936885518,29,undefined,54
1764936885523,undefined,20,undefined
1764936886020,29,undefined,54
1764936886025,undefined,20,undefined
1764936886504,undefined,undefined,54
1764936886526,29,undefined,undefined
1764936886530,undefined,20,undefined
1764936887007,undefined,undefined,54
1764936887012,undefined,20,undefined
1764936887028,29,undefined,undefined
1764936887511,undefined,undefined,54
1764936887517,undefined,20,undefined
1764936887533,29,undefined,undefined
1764936888014,undefined,undefined,54
1764936888016,29,undefined,undefined
1764936888019,undefined,20,undefined
1764936888520,undefined,undefined,55
1764936888521,29,undefined,undefined
1764936888524,undefined,20,undefined
1764936889022,undefined,undefined,55
1764936889023,29,undefined,undefined
1764936889027,undefined,20,undefined
1764936889507,undefined,undefined,55
1764936889529,29,undefined,undefined
1764936889532,undefined,20,undefined
1764936890009,undefined,undefined,55
1764936890015,undefined,20,undefined
1764936890031,29,undefined,undefined
1764936890513,undefined,undefined,55
1764936890522,undefined,20,undefined
1764936890536,29,undefined,undefined
1764936891016,undefined,undefined,55
1764936891019,29,undefined,undefined
1764936891022,undefined,20,undefined
1764936891521,undefined,undefined,55
1764936891525,29,undefined,undefined
1764936891527,undefined,20,undefined
1764936892023,undefined,undefined,55
1764936892027,29,undefined,undefined
1764936892028,undefined,20,undefined
1764936892527,undefined,undefined,55
1764936892533,undefined,20,undefined
1764936892534,29,undefined,undefined
1764936893009,undefined,undefined,55
1764936893035,29,20,undefined
1764936893513,undefined,undefined,55
1764936893520,undefined,20,undefined
1764936893540,29,undefined,undefined
1764936894015,undefined,undefined,56
1764936894022,undefined,20,undefined
1764936894023,29,undefined,undefined
1764936894519,undefined,undefined,56
1764936894528,29,20,undefined
1764936895021,undefined,undefined,56
1764936895030,undefined,20,undefined
1764936895034,29,undefined,undefined
1764936895525,undefined,undefined,56
1764936895535,undefined,20,undefined
1764936895538,30,undefined,undefined
1764936896028,undefined,undefined,56
1764936896036,undefined,20,undefined
1764936896041,30,undefined,undefined
1764936896527,30,undefined,undefined
1764936896530,undefined,undefined,56
1764936896543,undefined,20,undefined
1764936897013,undefined,undefined,56
1764936897025,undefined,20,undefined
1764936897028,30,undefined,undefined
1764936897517,undefined,undefined,56
1764936897532,undefined,20,undefined
1764936897534,30,undefined,undefined
1764936898018,undefined,undefined,56
1764936898034,undefined,20,undefined
1764936898036,30,undefined,undefined
1764936898522,undefined,undefined,56
1764936898540,undefined,20,undefined
1764936898541,30,undefined,undefined
1764936899023,undefined,undefined,56
1764936899042,undefined,20,undefined
1764936899043,30,undefined,undefined
1764936899527,undefined,undefined,56
1764936899528,30,undefined,undefined
1764936899529,undefined,20,undefined
1764936900028,undefined,undefined,56
1764936900030,undefined,20,undefined
1764936900031,30,undefined,undefined
1764936900533,undefined,undefined,56
1764936900535,undefined,20,undefined
